Date : 4/17/2015 Time    :  10:47 AM  Second : 2     milisecond  :  227====>>>>>>>  Token1  : 66440, OrderNumber1 : 104726232, BuySell1 : 1, PriceDiff : 0, Price1 : 8500, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 2, PriceDiff2 : 4505, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  10:47 AM  Second : 17     milisecond  :  791====>>>>>>>  Token1  : 66440, OrderNumber1 : 104741840, BuySell1 : 2, PriceDiff : 0, Price1 : 8555, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4505, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  10:52 AM  Second : 31     milisecond  :  88====>>>>>>>  Token1  : 66440, OrderNumber1 : 105255126, BuySell1 : 1, PriceDiff : 0, Price1 : 8520, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 2, PriceDiff2 : 4500, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  10:52 AM  Second : 31     milisecond  :  277====>>>>>>>  Token1  : 66440, OrderNumber1 : 105255194, BuySell1 : 2, PriceDiff : 0, Price1 : 8485, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4520, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  10:55 AM  Second : 22     milisecond  :  420====>>>>>>>  Token1  : 66440, OrderNumber1 : 105546431, BuySell1 : 1, PriceDiff : 0, Price1 : 8325, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 2, PriceDiff2 : 4390, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  10:55 AM  Second : 33     milisecond  :  259====>>>>>>>  Token1  : 66440, OrderNumber1 : 105557293, BuySell1 : 2, PriceDiff : 0, Price1 : 8285, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4360, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  10:56 AM  Second : 38     milisecond  :  379====>>>>>>>  Token1  : 66440, OrderNumber1 : 105702401, BuySell1 : 1, PriceDiff : 0, Price1 : 8340, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 2, PriceDiff2 : 4400, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  10:56 AM  Second : 38     milisecond  :  556====>>>>>>>  Token1  : 66440, OrderNumber1 : 105702457, BuySell1 : 2, PriceDiff : 0, Price1 : 8310, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4415, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  10:59 AM  Second : 7     milisecond  :  726====>>>>>>>  Token1  : 66440, OrderNumber1 : 105931727, BuySell1 : 2, PriceDiff : 0, Price1 : 8615, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4620, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  10:59 AM  Second : 7     milisecond  :  934====>>>>>>>  Token1  : 66440, OrderNumber1 : 105931801, BuySell1 : 1, PriceDiff : 0, Price1 : 8655, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 2, PriceDiff2 : 4605, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  11:00 AM  Second : 40     milisecond  :  734====>>>>>>>  Token1  : 66440, OrderNumber1 : 110104763, BuySell1 : 2, PriceDiff : 0, Price1 : 9010, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4835, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  11:01 AM  Second : 9     milisecond  :  795====>>>>>>>  Token1  : 66440, OrderNumber1 : 110133817, BuySell1 : 1, PriceDiff : 0, Price1 : 8925, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 2, PriceDiff2 : 4785, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  11:02 AM  Second : 5     milisecond  :  474====>>>>>>>  Token1  : 66440, OrderNumber1 : 110229498, BuySell1 : 2, PriceDiff : 0, Price1 : 8820, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4725, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  11:03 AM  Second : 30     milisecond  :  26====>>>>>>>  Token1  : 66440, OrderNumber1 : 110354044, BuySell1 : 2, PriceDiff : 0, Price1 : 8875, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4760, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  11:03 AM  Second : 52     milisecond  :  699====>>>>>>>  Token1  : 66440, OrderNumber1 : 110416728, BuySell1 : 2, PriceDiff : 0, Price1 : 8855, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4740, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  11:04 AM  Second : 14     milisecond  :  325====>>>>>>>  Token1  : 66440, OrderNumber1 : 110438335, BuySell1 : 1, PriceDiff : 0, Price1 : 8820, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 2, PriceDiff2 : 4685, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  11:04 AM  Second : 25     milisecond  :  227====>>>>>>>  Token1  : 66440, OrderNumber1 : 110449253, BuySell1 : 1, PriceDiff : 0, Price1 : 8815, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 2, PriceDiff2 : 4685, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  11:05 AM  Second : 37     milisecond  :  745====>>>>>>>  Token1  : 66440, OrderNumber1 : 110601767, BuySell1 : 2, PriceDiff : 0, Price1 : 8845, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4730, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  11:18 AM  Second : 25     milisecond  :  462====>>>>>>>  Token1  : 66440, OrderNumber1 : 111849451, BuySell1 : 2, PriceDiff : 0, Price1 : 8875, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4765, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  11:20 AM  Second : 56     milisecond  :  131====>>>>>>>  Token1  : 66440, OrderNumber1 : 112120122, BuySell1 : 2, PriceDiff : 0, Price1 : 9000, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4825, TriggerPrice2 : 0, TotalVolRemaining2 : 75
Date : 4/17/2015 Time    :  11:22 AM  Second : 27     milisecond  :  182====>>>>>>>  Token1  : 66440, OrderNumber1 : 112251168, BuySell1 : 2, PriceDiff : 0, Price1 : 9025, Volume1 : 50, TriggerPrice1 : 0, TotalVolRemaining1 : 50, Volume2 : 75, BuySell2 : 1, PriceDiff2 : 4840, TriggerPrice2 : 0, TotalVolRemaining2 : 75
